keywords
"[""Sodium Electrode (钠电极"",""Calcium Electrode (钙电极"",""PCO2 Electrode (二氧化碳分压电极"",""pH Electrode (pH电极"",""SAPS Single Action Pumping System (内腔清洗器（商品名：SAPS）"",""Nasal Mask (鼻罩"",""ARCHITECT Total β-hCG Reagent Kit (总β人绒毛膜促性腺激素测定试剂盒(化学发光微粒子免疫检测法)"",""ECHOGRAPH (超声眼科专用诊断仪"",""Flor-Opal Varnish White (氟保护剂"",""矫治器 (矫治器"",""RelyXTM Ceramic Primer (陶瓷表面处理剂"",""VITROS Immunodiagnostic Products Total T3 Reagent Pack (总三碘甲状腺原氨酸测定试剂包(化学发光法)"",""GLUTATHIONE REDUCTASE (谷胱甘肽还原酶检测试剂盒(紫外酶法)"",""LIAISON（R） XL murex Control HCV Ab (丙型肝炎病毒抗体质控品"",""VITROS Chemistry Products hsCRP Performance Verifier I,II and III (C反应蛋白质控品""]"
"[""Modular Replacement System-(MRS)Cemented Stems (股骨柄(商品名：MRS)"",""Secur-Fit Shell (髋关节假体-髋臼杯"",""Crossfire Insert (髋关节假体-聚乙烯内衬"",""OPAL (椎间融合器(商品名：OPAL)"",""Revision Hip Stem (翻修型股骨柄(商品名：Wagner SL)"",""TI Cage (钛制融合笼（商品名：Intromed）"",""Intromed PEEK Cage System (聚醚醚酮制椎间融合器（商品名：Intromed）"",""VITROS Chemistry Products AMYL DT Slides (淀粉酶测定干片(终点法)"",""VITROS Chemistry Products Fe DT Slides (铁测定干片(速率法)"",""IMMULITE 2000 GI-MA (糖类抗原19-9测定试剂盒(化学发光法)"",""DIRECT HDL-cholesterol(HDL) (高密度脂蛋白固醇检测试剂盒(酶清除法)"",""Mont Blanc (脊柱内固定系统组件"",""DISCOCERV Cervical Disc Prosthesis (人工椎间盘(商品名：DISCOCERV)"",""Iron Liquicolor (血清铁测定试剂盒(比色法)"",""Calibrator 27 (茶碱校准品""]"
"[""气管支气管支架 (气管支气管支架"",""CONMED(R) Sabre GenesisTM Electrosurgical Generator (高频电刀"",""HIV combi PT (人类免疫缺陷病毒抗体和抗原(p24)检测试剂盒(电化学发光法)"",""PINS \u0026 WIRES System (骨针系统"",""Body Composition Analyzer (人体成分分析仪"",""Platinum Plus PTCA Guidewire (PTCA导丝"",""CyberKnife Robotic Radiosurgery System (X-射线立体定向放射外科治疗系统"",""BEGO Semados Implant TiPurePlus Implants and Accessories (种植体及附件"",""Leukomed T (伤口透明保护膜"",""LIAISON(R) XL MUREX Control HIV Ab / Ag (人类免疫缺陷病毒抗原及抗体质控品"",""Liquid Stable (LS) 2-Part Homocysteine Reagent (同型半胱氨酸测定试剂盒(双试剂循环酶法)"",""BioPlex 2200 Anti-CCP Calibrator Set (抗环瓜氨酸肽抗体校准品"",""LIAISON(R) CA 125 Ⅱ(TM) (肿瘤相关抗原CA125定量测定试剂盒（化学发光免疫分析法）"",""PreciControl Tumor Marker (肿瘤标志物质控品"",""VITROS Chemistry Products Calibrator Kit 16 (类风湿因子校准品""]"
"[""Bone Screws (骨折螺钉"",""AcrySof Natural Single-piece Intraocular Lens (人工晶体(商品名：怡亮视然)"",""L-Type LDL-C (低密度脂蛋白胆固醇测定试剂盒(直接测定法，选择保护法)"",""TC-100 Plate and Screw System (直型骨板(商品名：TC-100)"",""CPS-PLUS Stem (股骨柄系统(商品名：CPS-PLUS骨水泥抛光柄)"",""TOT Tension Free Obturator Tape (无张力尿道悬吊带"",""Safire  Duo  Ablation  Catheter，MediGuide Enabled (双向消融导管"",""Multichem U (生化尿液多项质控品"",""AQT90 FLEX NT-proBNP CAL Cartridge (氨基末端B型脑钠肽前体定标卡(时间分辨免疫荧光法)"",""Foundation Knee System (膝关节假体"",""Femoral Access Venous Cannula and Guidewire (股静脉插管及导丝"",""CardioPhase high sensitivity C-reactive protein Calibrator (高敏C反应蛋白定标液"",""头孢噻肟药敏实验纸片(扩散法) (头孢噻肟药敏实验纸片(扩散法)"",""C-Reactive Protein_2 Calibrators (CRP_2 CAL) (C反应蛋白定标液"",""Operating Table (医用手术床""]"
"[""STA-PTT A (活化部分凝血活酶时间测定试剂盒(凝固法)"",""MPower Battery System (矫形外科用手术器械"",""半导体激光治疗仪 (半导体激光治疗仪"",""Total Bilirubin (总胆红素测定试剂盒 (重氮盐法)"",""AIA-PACK HBcAb CALIBRATOR SET (乙型肝炎病毒核心抗体校准品"",""VITROS Chemistry Products TBIL Slides (总胆红素测定干片（比色法）"",""AIA-PACK HBsAg CALIBRATOR SET (乙型肝炎病毒表面抗原校准品"",""Total IgE (tIgE) (总IgE测定试剂盒(化学发光法)"",""Chair (病人推车"",""Wallstent Enteral Endoprosthesis Colonic/Duodenal with Unistep Plus Delivery System (肠道金属支架(商品名：Wallstent)"",""AMY (α-淀粉酶测定试剂盒(酶法)"",""Mitek Surgical Instrument (骨关节手术器械(商品名：Mitek)"",""Antistreptolysin O (抗链球菌溶血素O检测试剂盒(免疫比浊法)"",""Alere Determine HIV-1/2 (人类免疫缺陷病毒(HIV)1+2型抗体诊断试剂盒(胶体硒法)"",""Apolipoprotein B (载脂蛋白B检测试剂盒(免疫比浊法)""]"
"[""Prolactin (PRL) (催乳素测定试剂盒(直接化学发光法)"",""Single Use 3-Lumen Extraction Balloon V(ディスポーザブルトリプルルーメンバルーン　V-System) (取石气囊"",""Aspartate　Aminotransferase(AST) (谷草转氨酶检测试剂盒(紫外法)"",""Polyester Nonabsorbable Sutures (非吸收性聚酯缝线(商品名：TICRON)"",""PELNAC (可吸收性敷料（商品名：皮耐克）"",""口腔X射线数字化体层摄影设备 (口腔X射线数字化体层摄影设备"",""原文名称：滅菌済み体内留置排液用チューブ及びカテーテル (一次性使用引流导管"",""Enzymatic Creatinine_2 Reagents (ECRE_2) (肌酐测定试剂盒(酶法)"",""Sterile cartridge set (人工晶体折叠夹"",""口腔X射线数字化体层摄影设备 (口腔X射线数字化体层摄影设备"",""3M Steri-Strip Skin Closures (胶带(商品名：3M免缝胶带)"",""kit(GHb Diluent) specially HbA1c Detector Based on Boronic Acid Affinity HPLC (稀释液"",""TomoTherapy HI-ART System(modified) (断层放射治疗系统"",""Albumin (白蛋白检测试剂盒(免疫比浊法)"",""Hydrophilic Acrylic Intraocular Lens (亲水性丙烯酸人工晶体""]"
"[""Disposable ECG Electrodes (一次性使用心电电极(商品名：Q-TRACE)"",""Ionomer Restorative Material (玻璃离子修复材料"",""Anesthesia System (麻醉系统"",""RapidQC Complete Level 3 (血气质控物水平3"",""VITROS Immunodiagnostic Products HBsAg ES (乙型肝炎病毒表面抗原检测试剂盒(化学发光法)"",""3MTM ScotchcastTM Soft Cast Casting Tape (绷带"",""Calcium Reagents (CA) (钙测定试剂盒(邻甲酚酞络合酮法)"",""Hypertonic Sea Water Nasal Spray (高渗海水鼻腔喷雾器(商品名：SINOMARIN MINI 30mlspray)"",""VITROS Immunodiagnostic Products Syphilis TPA Reagent Pack (梅毒螺旋体抗体检测试剂包(化学发光法)"",""レフラクタ (视力检查器"",""Eclectica Insulin Reagent Kit (胰岛素检测试剂盒(磁微粒免疫分析法)"",""ARCHITECT T-Uptake Reagent Kit (甲状腺素结合力测定试剂盒(化学发光微粒子免疫检测法)"",""Hysteroscopy System (宫腔内窥镜系统"",""STA-Thrombin (凝血酶时间测定试剂盒(凝固法)"",""HD11 XE Diagnostic Ultrasound system (彩色超声诊断系统""]"
"[""STA(R)-UNICALIBRATOR (凝血校准品"",""AccoladeTMZFHipStem (股骨柄(商品名：AccoladeTMZF)"",""L-Type Creatinine M (肌酐测定试剂盒(肌酐酶, HMMPS法)"",""PERI-LOC Periarticular Locked Plating System (关节周固定系统(上肢)- 螺钉(商品名：PERI-LOC)"",""Calcium (钙测定试剂盒(OCPC法)"",""Kappa Light Chain (κ轻链检测试剂盒(免疫比浊法)"",""ReCell Autologous Cell Harvesting Device (自体细胞采集器(商品名：ReCell)"",""Feeding Tubes and Sets (喂养管及附件"",""CAPILLARYS Hb A1c (糖化血红蛋白测定试剂盒(毛细管电泳法)"",""Hand Plating System Screw And Buttress Pin (手骨固定系统-锁定螺钉(商品名：HPS)"",""ANO-RECTAL MANOMETRY SYSTEM (肛肠动力分析仪"",""PEIT NEEDLE (一次性经皮酒精注射穿刺针"",""基台及附件 (基台及附件"",""Marathon XLPE Cemented Cup (骨水泥型髋臼杯"",""Ferritin(FER) (铁蛋白测定试剂盒(直接化学发光法)""]"
"[""PROMUS Element Plus Everolimus-Eluting Coronary Stent System (依维莫司洗脱冠状动脉支架系统（商品名：PROMUS Element Plus）"",""ADVIA 2120 Hematology System (血液分析仪"",""Picture archiving and communications system (影像归档及传输系统软件"",""precision Attachment Systems for Dental Prosthesis (牙科附着体"",""VITROS Immunodiagnostic Products Total T4 Calibrators (总甲状腺素校准品"",""VITROS Immunodiagnostic Products Anemia Controls (铁蛋白和维生素B12质控品"",""3M Nexcare Waterproof andTattoo Waterproof Bandages (防水透气创口贴(商品名：3M耐适康防水透气创口贴)"",""KOBY GARD SYSTEM (足部筋膜韧带手术工具"",""VITROS Immunodiagnostic Products PSA Calibrators (总前列腺特异性抗原校准品(化学发光法)"",""C-反应蛋白测定干片(速率法) (C-反应蛋白测定干片(速率法)"",""ENDOPATH Endoscopic Needle Holder (腔内持针钳"",""Surgical Position System (电动手术位置固定架系统"",""VITALSTIM ADULT PKG (神经和肌肉刺激理疗仪"",""SD BIOLINE EV71 IgM (肠道病毒71型抗体IgM（EV71 IgM）测定试剂盒（胶体金法）"",""ガイディングカテーテルHA (带扩张器的外周血管导引导管（商品名：SheathLess PV）""]"
"[""Rheumatoid Factor Reagents (RF) (类风湿因子测定试剂盒(免疫比浊法)"",""Epic Vascular Self-Expanding Stent System (血管自扩张支架系统"",""LA 1 Screening Reagent / LA 2 Confirmation Reagent (狼疮抗凝物检测试剂盒(凝固法)"",""SPECT/CT (单光子发射及X射线计算机断层成像系统"",""VITROS Immunodiagnostic Products AFP Reagent Pack (甲胎蛋白测定试剂包（化学发光法）"",""Injection Gold Probe Bipolar Electrohemostasis Catheter (双极电止血导管"",""Cholesterol (胆固醇测定试剂盒(酶法)"",""Pepsinogen Control (low) (胃蛋白酶原质控(低值)(商品名:QC-PG-L‘荣研’)"",""Alkaline Phosphatase(ALP) (碱性磷酸酶检测试剂盒(比色法)"",""Oxygen concentrators and accessoies (医用制氧机"",""Cardiac Troponin-I Calibrator（CTNI Calibrator） (心肌肌钙蛋白-I定标液"",""Cholinesterase (胆碱酯酶测定试剂盒(GSCC法)"",""Liquichek Therapeutic Drug Monitoring Control (TDM) (治疗药物监测质控物"",""IMMULITE 2000 Chemiluminescent Substrate Module (化学发光底物"",""VITROS Immunodiagnostic Products Free T3 Calibrators (游离三碘甲状腺原氨酸校准品""]"
"[""VITROS Immunodiagnostic Products TT3 Calibrators (总三碘甲状腺原氨酸校准品"",""VITROS Immunodiagnostic Products Folate Calibrators (叶酸校准品"",""CKMB (肌酸激酶MB同工酶测定试剂盒(直接化学发光法)"",""Dade Actin FSL Activated PTT Reagent (活化部分凝血活酶时间测定试剂盒(凝固法)"",""Sinuscan 201 (超声鼻窦诊断仪"",""Diode Laser System (半导体激光治疗仪"",""DIACON P (生化多项质控血清"",""Microscope (生物显微镜"",""VITROS Immunodiagnostic Products Ferritin Reagent Pack (铁蛋白测定试剂包(化学发光法)"",""Bone Cement (骨水泥"",""Pureauto S IgA (免疫球蛋白A检测试剂盒(免疫比浊法)"",""Processor (电子图像处理器"",""SOFT CONTACTLENS (软性亲水接触镜"",""anesthetizes machine (麻醉机"",""口腔X射线机 (口腔X射线机""]"
"[""レジウスカセッテ (影像板暗盒"",""Insulin (IRI) (胰岛素测定试剂盒(直接化学发光法)"",""Hurricane RX Biliary Balloon Dilatation Catheter (快速交换胆道球囊扩张导管(商品名：Hurricane)"",""Steroid-eluting, Tined, Transvenous Pacing Lead (起搏电极导线"",""Creatinine_2 Reagents (CREA_2) (肌酐测定试剂盒(苦味酸法)"",""Pos ID Panel Type 3 (革兰氏阳性菌鉴定板"",""Lumipulse(R) G CYFRA (细胞角蛋白19片段(CYFRA21-1)检测试剂盒(化学发光法)(商品名：Lumipulse(R) G CYFRA   )"",""COBAS AmpliPrep/COBAS TaqMan HIV-1 test (人类免疫缺陷病毒(1型)核酸定量检测试剂盒(PCR-荧光法)"",""Ophthalmic therapy laser (倍频Nd:YVO4眼科激光治疗仪"",""CA 19-9 (糖抗原19-9测定试剂盒(直接化学发光法)"",""Pain and sensory evaluation system (疼痛/感觉评估系统"",""Electrocardiograph Device (心电图机"",""soft contact lens (软性亲水接触镜"",""オルソトラック (电动牵引装置"",""Lumipulse(R) G CEA-N Calibrators (癌胚抗原(CEA)校准液(商品名：Lumipulse(R) G CEA-N 校准液  )""]"
"[""Nova Stat Profile pHOx Ultra Analyzer System (血气分析仪"",""Wheelchiars (手动轮椅车"",""VectorVision cranial (颅脑手术导航软件"",""Genetic Analyzer (基因分析仪"",""Serofine needle (笔式注射器用针"",""Amicus Separator (血细胞分离机"",""Bipolar/Multipolar Radiofrequency Induced Thermotherapy System (双极/多极射频消融治疗系统"",""VITROS Chemistry Products GGT Slides (γ-谷氨酰转移酶测定干片（速率法）"",""Bard Guidewires (导丝"",""Habib 4X (凝固电极"",""Ascent Total Knee System (全膝关节系统（商品名：Ascent）"",""Soft Hydrophilic Contact Lens (软性亲水接触镜"",""Arthroscope (关节镜"",""VITROS Chemistry Products CHE Slides (胆碱酯酶测定干片（速率法）"",""LIAISON Anti-HBe (乙型肝炎病毒e抗体检测试剂盒(化学发光法)""]"
"[""Medical Volume Flow-meter and Probes (血管流量计系统"",""Goodtec Y-Connector Set (Y型连接器套件(商品名：Goodtec)"",""Medrad Avanta Fluid Management Injection System (血管造影高压注射器(商品名：Medrad Avanta)"",""CORE-M (乙型肝炎病毒核心抗体IgM诊断试剂盒(微粒子酶免法)"",""TEMPORARYPACING ELECTRODE CATHETER (临时起搏电极导管(商品名：巴德)"",""Cardiac Resynchronization Device Tiered-therapy Cardioverter/Defibrillator (植入式心脏再同步复律除颤器"",""Tiered-therapy Cardioverter/Defibrillator (植入式心脏复律除颤器"",""ALT (谷丙转氨酶测定试剂盒(酶法)"",""Fractionated silicon oil for ophthalmic use (眼科手术用硅油(商品名：Arciolane)"",""All Silicone Endotracheal Tube (硅橡胶气管插管"",""HBDH (羟丁酸脱氢酶测定试剂盒(酶法)"",""HEMATOLOGY CONTROL (血细胞分析仪用质控品(商品名：日本光电血细胞分析仪用质控品)"",""Glucose (葡萄糖测定试剂盒(己糖激酶法)"",""Instruments for Locker (手动式骨科手术器械(商品名：椎间体固定器用工具)"",""Implantable Bradycardia Pacemaker (植入式心脏起搏器""]"
"[""Cook Airway Exchange Catheter (气道交换气管导管"",""Rongeurs (椎板咬骨钳"",""BioPlex 2200 APLS IgG Control Set (抗磷脂综合征IgG抗体质控品"",""CK-MB LiquiUV (血清磷酸肌酸激酶同工酶MB测定试剂盒(速率法)"",""HER-2/neu (H2n) (HER-2/neu蛋白测定试剂盒(化学发光法)"",""Rainbow DC Series Reusable Sensors (脉搏血氧饱和度传感器"",""VITROS Immunodiagnostic Products CA 15-3 Reagent Pack (糖类抗原15-3测定试剂包(化学发光法)"",""Carbamazepine(CARB) (卡马西平测定试剂盒(直接化学发光法)"",""Powered system accessories (动力系统手机接口"",""Spinal System (脊柱内固定系统(商品名：SpineTune TL)"",""QUANTIENTM Measurement System (动脉生理检测仪"",""ACCU-CHEK Active Blood Glucose Meter (血糖仪（商品名：活力型）"",""Triglyceride (TG) (甘油三酯检测试剂盒(酶法)"",""Rheumatioid Factor (类风湿因子检测试剂盒(免疫比浊法)"",""Disposable ECG Electrodes (一次性使用心电电极(商品名：MEDITRACE)""]"
"[""SlimLine EZ and GI (一次性使用无菌光纤"",""Helios II Ablation Catheter (消融导管(商品名：Helios II消融导管)"",""CARDIOVIT AT-10PLUS (心电图机"",""Albumin (白蛋白测定试剂盒(溴甲酚绿法)"",""High Sensitivity C-Reactive Protein (高灵敏度C-反应蛋白检测试剂盒(免疫比浊法)"",""Apolipoprotein A-1 (载脂蛋白A-1检测试剂盒(免疫比浊法)"",""Combined Therapy Devices (综合物理治疗仪"",""凝血酶-抗凝血酶Ⅲ复合物校准品 (凝血酶-抗凝血酶Ⅲ复合物校准品"",""Transfer set for sterile fluids (一次性使用液体转移接头"",""LED Curing Light (光固化机"",""电外科手术工具 (电外科手术工具"",""CerTest RSV-Adenovirus Resp. Blister Test (呼吸道合胞病毒/腺病毒抗原联检试剂盒(免疫层析法)"",""Alere Triage(R) BNP Test (B型钠尿肽测试板(荧光免疫法)"",""LDH SCE mod.liquiUV (血清乳酸脱氢酶测定试剂盒(速率法)"",""ARCHITECT Syphilis TP Controls (梅毒螺旋体抗体质控品""]"
"[""Oragene? (DNA自采集工作包"",""Cholesterol Calibrator (CHOL Calibrator) (胆固醇定标液"",""金属托槽 (金属托槽"",""VITROS Chemistry Products PHOS Slides (磷测定干片（比色法）"",""NycoCard(R) HbA1c (糖化血红蛋白检测试剂盒（微粒色谱法）"",""腹腔镜 (腹腔镜"",""Cygnus Auto CK (肌酸激酶测定试剂盒(速率法)"",""Surgical Saw Blades (动力系统锯片"",""CeSpace (前路颈椎椎间融合器(商品名：CeSpace)"",""EMG/EP (肌电/诱发电位检测系统"",""Access IL-6 Calibrator (白介素6校准品(化学发光法)(商品名：Access 白介素6校准品)"",""Total Protein (总蛋白测定试剂盒(双缩脲法)"",""Intra-ocular lens (人工晶体"",""Immunotesta C3 (补体蛋白C3检测试剂盒(免疫比浊法)"",""IRON (铁测定试剂盒(酶法)""]"
"[""自动心肺复苏系统 (自动心肺复苏系统"",""Coronary Imaging Catheter (冠脉超声成像导管（商品名：Opticross）"",""Locking Metallic Plate System (锁定金属接骨板系统（商品名：NCB）"",""ARCHITECT Anti-HCV Reagent Kit (丙型肝炎病毒抗体测定试剂盒(化学发光微粒子免疫检测法)"",""Gamma-Glutamyl Transferase Reagents (GGT) (γ-谷氨酰转肽酶测定试剂盒(速率法)"",""Lumipulse(R) G AFP-N Calibrators (甲胎蛋白(AFP)校准液(商品名：Lumipulse(R) G AFP-N 校准液 )"",""STA(r) - DEFICIENT VII (VII因子检测试剂盒(凝固法)"",""血糖检测用质控品 (血糖检测用质控品"",""Soft Contact Lens (软性亲水接触镜"",""VITROS Chemistry Products Mg Slides (镁测定干片（比色法）"",""MEDRAD Avanta Fluid Management Injection System Disposables (高压注射器针筒及附件（商品名：Medrad Avanta）"",""VITROS Chemistry Products mALB Reagent (微量白蛋白测定试剂盒(免疫比浊法)"",""UREA (尿素测定试剂盒(酶法)"",""Pre-Shaped Microcatheter (预塑形微导管(商品名：Excelsior )"",""AIR-FLOW (喷砂洁牙机""]"
"[""Multistix 10 SG Reagent Strips (尿十项试纸(干化学检测法)"",""icare Tonometer (眼压计"",""Surgical Diode Laser (半导体激光治疗仪"",""VITROS Immunodiagnostic Products Troponin I ES Calibrators (肌钙蛋白I校准品(化学发光法)"",""NORUDIA  HbA1c (糖化血红蛋白检测试剂盒(酶法)"",""Diluent/Sheath (稀释液/鞘液"",""Coated SYNSYL*VIOLET/UNDYED(POLYGLACTIN 910)BRAIDED ABSORBABLE SUTURE (合成可吸收性外科缝线（商品名：怡乔）"",""ディスポーザブル回転クリップ装置 (夹子装置"",""电动床 (电动床"",""水胶敷料 (水胶敷料"",""β2-Microglobulin Reagents (β2-微球蛋白测定试剂盒(胶乳免疫比浊法)"",""Small Bone Powered Surgical Systems (电动骨组织手术工具"",""VITROS Immunodiagnostic Products Total PSA II Calibrators (总前列腺特异性抗原校准品"",""Guide Wires (导丝"",""APO-A1 (载脂蛋白-A1测定试剂盒(酶法)""]"
"[""Parietex ProSup Surgical Mesh (外科补片(商品名：Parietex ProSup)"",""Electric neuromuscular stimulator (低频刺激仪"",""C肽测定试剂盒（化学发光法）LIAISON®C-Peptid (C肽测定试剂盒（化学发光法）LIAISON®C-Peptid"",""Soft Contact Lens (软性亲水接触镜"",""丙氨酸氨基转移酶测定试剂盒（速率法）FUJI DRI-CHEM SLIDE GPT/ALT-PⅢ (丙氨酸氨基转移酶测定试剂盒（速率法）FUJI DRI-CHEM SLIDE GPT/ALT-PⅢ"",""HI-TORQUE BALANCE HEAVYWEIGHTTM Guide Wire with Hydrocoat Hydrophilic Coating (导引导丝(商品名：HI-TORQUE BALANCE HEAVYWEIGHTTM )"",""Vascular stents (血管支架(商品名：巴德)"",""HDL-Cholesterol (高密度脂蛋白胆固醇检测试剂盒(酶法)"",""Total Bilirubin (总胆红素测定试剂盒(重氮法)"",""Access IL-6 (白介素6测定试剂盒(化学发光法)(商品名：Access 白介素6试剂盒)"",""Medical X-Ray Tube Housing Assemblies (X射线管组件(旋转阳极)"",""Neurosurgery Instruments (神经外科手术工具"",""CanAg AFP EIA (甲胎蛋白(AFP)检测试剂盒(酶联免疫法)"",""Calibrator 80 (总IgE校准品"",""ARCHITECT HBsAg Qualitative ⅡConfirmatory Reagent Kit (乙型肝炎病毒表面抗原确认试剂盒(化学发光微粒子免疫检测法)""]"
"[""Eclectica CEA Reagent Kit (癌胚抗原检测试剂盒(磁微粒免疫分析法)"",""Phenytoin(PHTN) (苯妥英测定试剂盒(直接化学发光法)"",""VITROS Chemistry Products Calibrator Kit 14 (妥布霉素校准品"",""Lumbar Cage (腰椎椎间融合器(商品名：ROI-T)"",""Defibrillator/Monitor (除颤/监护系统"",""Angiographic Catheters (血管内造影导管"",""ARCHITECT iTheophylline Reagent Kit (茶碱测定试剂盒(化学发光微粒子免疫检测法)"",""Cholinesterase Reagents (CHE) (胆碱酯酶测定试剂盒(丁酰硫代胆碱法)"",""Calcium_2 Reagents (CA_2) (钙测定试剂盒(偶氮胂III比色法)"",""LINK Cementable Prostheses Stems M (髋关节假体(骨水泥型)--股骨柄"",""Xia implants (脊柱内固定系统组件（商品名：Xia）"",""Mobile X-Ray systems (移动式C形臂X射线机"",""VB12 (维生素B12测定试剂盒(直接化学发光法)"",""AxSYM AFP Reagent Pack (甲胎蛋白测定试剂盒(微粒子酶联免疫检测法)"",""D-Dimer Standard (D-二聚体校准品""]"
"[""Spirometer (肺功能仪"",""CarboMedics Prosthetic Heart Valve (人工心脏瓣膜"",""Solo Care (软性隐形眼镜多功能护理液(商品名：视康(英文：Solo Care))"",""Direct Bilirubin (直接胆红素测定试剂盒(重氮法)"",""Syringe Kit (骨水泥用注射包"",""STA-Fibrinogen (纤维蛋白原测定试剂盒(凝固法)"",""Urodynamic Analyzer System (尿动力学分析系统"",""Diagnostic Angiography x-ray system (血管造影X射线系统"",""VITROS immunodiagnostic Products Metabolism control (皮质醇质控品"",""Direct Bilirubin (直接胆红素测定试剂盒(重氮化反应法)"",""Access hFSH Calibrators (促卵泡生成激素校准品(化学发光法)"",""FUJI DRI-CHEM SLIDE GOT/AST-PⅢ (谷草转氨酶测定试剂盒(速率法)"",""Adhesive (牙科粘结剂"",""WaveLight EX500 (准分子激光角膜屈光治疗机"",""Natural Latex Condom (天然胶乳橡胶避孕套(商品名：切迟杜威、飘、优立德  JAZZDIVA、feel good、Nulatex)""]"
"[""Hematology Analyzer (血细胞分析仪(商品名：COULTER LH780 血细胞分析仪)"",""Accu-Chek Performa test strips (血糖试纸(商品名:卓越金锐血糖试纸)"",""Goodtec Angiographic Diagnostic Catheter (血管造影导管(商品名：Goodtec)"",""HIV BLOT 2.2 (人类免疫缺陷病毒(HIV 1+2型)抗体检测试剂盒(免疫印迹法)"",""CoaguChek XS PT Test (凝血酶原时间检测卡(电化学法)"",""Calcium chloride (活化部分凝血酶时间检测用氯化钙试剂盒(凝固法)"",""Ist MPJ Hemi Great Toe Implant (跖骨趾关节假体(商品名：Hemi)"",""Rodiopaque Light Cured Reinforced Glass Ionomer Restorative (光固化玻璃离子水门汀(商品名：而至富士 II LC)"",""EnVisionTM FLEX Wash Buffer(20×) (洗脱缓冲液"",""Gentamicin Susceptibility Test Disc (庆大霉素药敏实验纸片(扩散法)"",""ABX Minotrol CRP (血液分析仪用质控品(商品名：全血质控品低值)"",""Anti-dsDNA-NcX ELISA (IgG) (抗双链DNA(dsDNA-NcX)抗体IgG检测试剂盒(酶联免疫吸附法)"",""RT-PLUS SOLUTION KNEE SYSTEM (铰链型全膝关节置换系统(商品名：RT-PLUS SOLUTION)"",""LIAISON(r)XL (全自动化学发光免疫分析仪"",""ABX MINOCAL (血液分析仪用校准品""]"
"[""PNEUMOSLIDE IgM (九项呼吸道感染病原体IgM抗体检测试剂盒(间接免疫荧光法)"",""IMMULITE/IMMULITE1000 Total T4 (总甲状腺素测定试剂盒(化学发光法)"",""Medonic M-series Lyse (血液分析仪用溶血剂"",""Ultrasound Diagnostic Equipment (超声诊断仪"",""Anti-Embolism Stockings (抗血栓压力带(商品名:T.E.D.)"",""IMMULITE/IMMULITE1000 Free T4 (游离甲状腺素测定试剂盒(化学发光法)"",""FACTOR Ⅷ DEFICIENT PLASMA (因子Ⅷ缺乏血浆测定试剂盒(凝固法)"",""Urinary/Cerebrospinal Fluid Protein Flex reagent cartridge(UCFP) (尿液脑脊液蛋白测定试剂盒(比色法)"",""Implantable Cardioverter Defibrillator (植入式心律转复除颤器"",""Liquichek D-dimer Control (D-二聚体质控物"",""Bonding Ceramic (金属烤瓷(商品名：CARMEN CCS)"",""IMMULITE/IMMULITE1000 HCG (人绒毛膜促性腺激素测定试剂盒(化学发光法)"",""BECKMAN COULTER APO CAL (载脂蛋白校准品"",""Ammonia (NH3L) (血氨检测试剂盒(比色法)"",""Liquichek Hematology-16 Control (血液-16质控物""]"
"[""GuardiaTM Pro Protective Embryo Transfer Catheter (带保护鞘的胚胎移植导管(商品名：Guardia)"",""Titanium Screw System (钛钉系统"",""Ferritin CalSet (铁蛋白定标液"",""Pediatric Ventilator (小儿呼吸机"",""Total Protein Gen.2 (TP2) (总蛋白检测试剂盒(比色法)"",""VIDAS AFP (甲胎蛋白检测试剂盒(酶联免疫荧光法)"",""HemosIL Liquid Antithrombin (抗凝血酶检测试剂盒(发色底物法)"",""Uric Acid ver.2(UA2) (尿酸检测试剂盒(比色法)"",""PiCCO2 (容量监测仪"",""S-CAL Calibrator (血液分析仪用校准品"",""Hydro kit for Colon Cleaning Machine (一次性使用洗肠用具包"",""Instruments of Bipolar Ball Head (卡式双动头置换手术工具"",""Microprobe Surgical Laser Endoscopy System (激光内窥镜系统"",""FUJI DRI-CHEM SLIDE Mg-PⅢ (镁测定试剂盒(速率法)"",""Surgical Microscope (手术显微镜""]"
"[""FUJI DRI-CHEM SLIDE TBIL-PIII (总胆红素测定试剂盒(终点重氮法)"",""VITROS Immunodiagnostic Products LH Calibrators (促黄体生成素校准品"",""Nasal Mask (鼻罩"",""3M Tegaderm Absorbent Clear Acrylic Dressing (伤口贴(商品名：3M Tegaderm)"",""KINSA Suture Anchor (无结带线锚钉(商品名：KINSA)"",""V.A.C. Therapy System Disposables (负压辅助愈合治疗系统用耗材"",""ABX Minotrol 16 (血液分析仪用质控品(商品名：血液分析仪用质控品高值)"",""Paste for Temporary Gingival Retraction (排龈膏"",""Tubing Sets for Hemodialysis (血液净化装置的体外循环血路"",""Anti-Streptolysin O (Latex Turbidimetry) (抗链球菌溶血素 O 测定试剂盒(胶乳比浊法)"",""Implantable ICD Lead (植入式心脏复律除颤器电极导线(商品名：Linoxsmart SD, Linox smartS DX)"",""T4 CalSet (甲状腺素定标液"",""FT4 CalSet (游离甲状腺素定标液"",""Wash G/L Zero (血糖/乳酸零点校准液"",""Coseal Surgical Sealant (外科用封合剂(商品名：Coseal)""]"
