keywords
""
"[""纱布绷带"",""医用棉签"",""医用病床"",""医用车"",""医用台柜"",""磁化妇科冲洗器"",""医用病床"",""医用台车"",""床上球管X射线诊断床"",""一次性使用静脉留置针"",""一次性使用无菌注射器"",""一次性使用无菌胰岛素注射器"",""氯化钙溶液20mM"",""凝血酶原时间测定试剂（凝固法）"",""KMC刮匙器""]"
"[""一次性使用自动止液输液器"",""一次性使用麻醉穿刺包"",""喉用冲洗吸引管"",""聚乙烯(PE)薄膜制一次性用卫生手套"",""一次性自吸式医用微量吸管"",""医用吸引器头"",""胆道拉钩"",""定制式活动义齿"",""一次性使用无菌手术洞巾"",""定制式固定义齿"",""定制式活动义齿"",""电脑中频治疗仪"",""半自动生化分析仪"",""大便常规分析仪"",""医用透明胶贴""]"
"[""全血基因组DNA分离试剂盒"",""治疝器"",""一次性使用理疗电极贴片"",""齿状突定位打孔器"",""橡皮樟开口器"",""一次性使用无纺布(系列)制品"",""单视检查四孔灯"",""便携单视检查四孔灯"",""医用透气胶带"",""一次性使用医用橡胶检查手套"",""β2-微球蛋白测定试剂盒(免疫比浊法)"",""颈椎贴"",""眩晕贴(已注销)"",""胆固醇测定试剂盒(酯酶-过氧化物酶法)"",""天冬氨酸氨基转移酶测定试剂盒(紫外-苹果酸脱氢酶法)""]"
"[""定制式固定义齿"",""定制式固定义齿"",""全自动生化分析仪"",""超声洁牙机"",""超声洁牙机"",""定制式固定义齿"",""血红蛋白质控液"",""五分类全自动血细胞分析仪"",""五分类全自动血细胞分析仪"",""鼻穿刺针"",""全自动血细胞形态分类识别系统"",""电子经穴治疗仪"",""定量超声骨密度测量系统"",""定制式固定义齿"",""定制式固定义齿""]"
"[""便携式氧气呼吸器"",""电位治疗仪"",""热疗袋A型(寒痛灵)（已注销）"",""热疗袋B型(前列舒)（已注销）"",""热疗袋C型(熨炙足贴)（已注销）"",""筋骨痛贴（已注销）"",""乳腺增生贴（已注销）"",""疏经降压贴（已注销）"",""痛经贴（已注销）"",""热疗袋F型(新型热炙健腰带)（已注销）"",""热疗袋G型(虞美人热炙疗贴)（已注销）"",""热疗袋I型(风寒温炙贴)（已注销）"",""肌酐液体试剂盒"",""医用中心吸引系统"",""麻醉回路""]"
"[""呼吸回路"",""连体式牙科治疗设备"",""定制式固定义齿"",""鼻腔冲洗器"",""自贴式热敷灵"",""体外短波电容场热疗系统"",""免疫球蛋白M定量测定试剂盒(免疫透射比浊法)"",""定制式义齿"",""一次性使用手术衣"",""一次性使用口罩"",""一次性使用帽子"",""一次性使用手术包"",""一次性使用产包"",""尿微量白蛋白测定试剂盒(免疫比浊法)"",""高敏C-反应蛋白测定试剂盒(免疫比浊法)""]"
"[""电动多功能病床"",""内窥镜摄录像系统"",""鼻窦镜"",""定制式金属义齿"",""定制式烤瓷义齿"",""医用脱脂棉"",""定制式金属义齿"",""定制式烤瓷义齿"",""URIT-910系列电解质分析仪"",""丙氨酸氨基转移酶测定试剂盒(紫外-乳酸脱氢酶法)"",""尿素测定试剂盒(脲酶连续监测法)"",""葡萄糖测定试剂盒(己糖激酶法)"",""乳酸脱氢酶测定试剂盒(乳酸底物法)"",""γ-谷氨酰转移酶测定试剂盒(硝基苯胺法)"",""总胆红素测定试剂盒(对氨基苯磺酸重氮盐法)""]"
"[""一次性使用医用手术帽"",""诊查床"",""一次性使用PE手套"",""一次性使用备皮刀"",""一次性使用检查手套"",""一次性使用吸痰管"",""一次性使用咬嘴"",""一次性使用引流瓶"",""抢救车"",""医用X射线观片灯"",""立式摄影架"",""X射线胶片贮片箱"",""直接胆红素液体试剂盒"",""肌酸激酶同工酶测定试剂盒(免疫抑制法)"",""内置式超声洁牙机""]"
"[""内置式超声洁牙机"",""抗链球菌溶血素O测定试剂盒(免疫比浊法)"",""类风湿因子测定试剂盒(免疫比浊法)"",""补体C3测定试剂盒(免疫比浊法)"",""创可贴"",""正鑫一消贴"",""小儿退热贴"",""医用脱脂纱布"",""医用脱脂棉"",""EB病毒壳抗原(EBVCA)IgA抗体检测试剂盒(酶联免疫法)"",""W600型自动洗板机"",""MB-FS系列分枝杆菌快速药敏检查仪"",""荧光分析仪"",""定制式活动义齿"",""定制式固定义齿""]"
"[""定制式活动义齿"",""定制式固定义齿"",""定制式活动义齿"",""活化部分凝血酶时间(APTT)测定试剂盒"",""医用一次性防护服"",""一次性使用医用产包"",""一次性使用医用手术衣"",""医用脱脂棉块"",""一次性使用清创换药包"",""糖化血红蛋白质控物(酶法)"",""一次性使用乳胶导尿管"",""定制式固定义齿"",""定制式活动义齿"",""胆碱酯酶检测试剂盒(速率法)"",""钙离子检测试剂盒(偶氮胂Ⅲ法)""]"
"[""镁离子检测试剂盒(二甲苯胺蓝比色法)"",""α-羟丁酸脱氢酶检测试剂盒(DGKC推荐法)"",""α-L-岩藻糖苷酶检测试剂盒(CNPF连续监测法)"",""直接胆红素检测试剂盒(DPD法)"",""腺苷脱氨酶检测试剂盒(酶显色法)"",""医用中心供氧系统"",""颈椎炎痛贴"",""活动义齿"",""铸造活动支架"",""铸造金属冠"",""烤瓷熔附金属冠"",""医用口罩"",""正鑫疼痛贴"",""腰椎康复贴"",""妇科调理穴位贴(穴位贴敷贴)""]"
"[""胃痛穴位贴(穴位贴敷贴)"",""消痛穴位贴(穴位贴敷贴)"",""远红外止咳平喘贴"",""一次性使用无菌加药器"",""医用口罩帽子"",""B型超声诊断仪"",""定制式固定义齿"",""SPIRIT多通道生物反馈治疗仪"",""医用分子筛吸附制氧机"",""一次性使用人体静脉血样真空采集容器"",""子宫颈活体取样钳"",""主韧带钳"",""E100型生物显微镜"",""JH-5000系列数码电子阴道镜"",""MVES手术显微镜图像采集处理系统""]"
"[""LZJ-5D型手术显微镜"",""一次性腔镜用切口牵开保护器"",""一次性使用圈套器"",""肌酸激酶同工酶/心肌肌钙蛋白Ⅰ/肌红蛋白三合一检测试剂盒（干式免疫荧光定量法）"",""助听器"",""一次性使用无菌手术衣"",""一次性使用医用口罩"",""尿素测定试剂盒(UV-GLDH法)"",""葡萄糖测定试剂盒(GOD-PAP法)"",""软性亲水接触镜"",""全自动生化分析仪"",""定制式固定义齿"",""定制式活动义齿"",""铸造活动支架"",""烤瓷熔附金属冠""]"
"[""医学影像存贮及传输系统(Picture"",""BAISON-900"",""痛畀帖"",""口腔溃疡膜"",""定制式固定义齿"",""定制式活动义齿"",""SD-Ⅱ系列妊高征预测分析系统"",""医用脱脂棉"",""一次性使用医疗卫生用品"",""一次性使用敷料包"",""定制式固定义齿"",""定制式活动义齿"",""定制式固定义齿"",""诊查床"",""产床""]"
"[""病床"",""妇科检查床"",""稀释液"",""溶血剂"",""一次性使用两件式无菌溶药器"",""定制式固定义齿"",""一次性使用连通管"",""全数字B型超声诊断仪"",""定制式固定义齿"",""全程C反应蛋白（hs-CRP+常规CRP）检测试剂盒（干式免疫荧光定量法）"",""医用脱脂棉纱布块"",""痛畀贴"",""定制式固定义齿"",""定制式活动义齿"",""一次性妇用(壳聚糖)生物高分子止血吸附栓""]"
"[""智能血流图仪"",""洗鼻易"",""穴位敷贴治疗贴"",""定制式固定义齿"",""脱脂纱布块"",""头皮剥离子"",""医用踝部固定带"",""医用肩部固定带"",""创可贴"",""麻醉剂助推器"",""去冠器"",""医用足部固定支具"",""自动蛋白印迹仪"",""立式血压计"",""直接胆红素测定试剂盒(氧化法)""]"
"[""医用脱脂棉片"",""游离三碘甲状腺原氨酸标准曲线多点校准品(化学发光法)"",""冲洗袋"",""止血鼻塞"",""卡通创可贴"",""轻巧创可贴"",""旅游运动创可贴"",""定制式固定义齿"",""医用器械台柜"",""普通病床"",""医用推车"",""多种脱落细胞一次染色清染色液"",""筋骨消痛贴(已注销)"",""清盲组合眼贴(已注销)"",""骨质增生治疗袋(已注销)""]"
"[""骨质增生治疗袋(已注销)"",""定制式活动修复体"",""定制式固定修复体"",""定制式固定修复体"",""定制式活动修复体"",""解脲衣原体MB蛋白金标检测试剂盒(胶体金法)"",""肺炎衣原体(MOMP)抗体IgG检测试剂盒(胶体金法)"",""肺炎衣原体(MOMP)抗体IgM检测试剂盒(胶体金法)"",""卡式瓶注射架"",""卡式全自动注射笔"",""经皮气管切开术扩张钳"",""手摇式病床"",""定制式义齿"",""一次性手术用品(手术衣、手术帽、口罩、手术垫单、手术洞巾、产垫)"",""医用电动检查床""]"
"[""洗板机"",""注射泵"",""一次性卫生棉签"",""薄膜手套"",""医用脱脂纱布绷带"",""转接线"",""DRU型营养喂食器"",""钛镍记忆合金组织吻合器"",""臭氧治疗仪"",""中低频场效应治疗仪"",""耳鼻喉科综合诊疗台"",""旋转振动扫痰仪"",""医学影像处理系统"",""定制式义齿"",""定制式义齿""]"
"[""定制式义齿"",""一次性使用包皮环切器"",""定制式义齿"",""一次性使用洞巾"",""医用脱脂棉球"",""医用脱脂纱布口罩"",""BS-3系列微量元素分析仪"",""SJT-精准型血糖仪"",""干式化学分析仪"",""石膏棉纸"",""一次性速冷冰袋"",""冷敷眼罩"",""冷敷袋"",""HR2000型数码电子阴道镜"",""上臂式电子血压计""]"
"[""定制式固定义齿"",""定制式固定义齿"",""定制式可摘局部义齿"",""电子治疗仪"",""根管润滑剂"",""牙齿脱敏剂"",""定制式可摘局部义齿"",""DRW型胃管"",""DRE型可控式吸痰管"",""DRT型氧气雾化吸入器"",""心电工作站"",""DIGIPOX脉搏血氧仪"",""一次性使用导尿包(Disposable"",""钛合金牵开器"",""心脏瓣膜置换手术牵开器""]"
"[""冠状动脉旁路移植手术牵开器"",""外科手术钛合金拉钩"",""外科手术钛合金探子"",""定制式可摘局部义齿"",""定制式固定义齿"",""总胆固醇(TC)检测试剂盒(氧化酶法)"",""肌酐(CREA)检测试剂盒(氧化酶法)"",""尿酸(UA)检测试剂盒(氧化酶法)"",""CQ-1肿瘤检测仪"",""肺炎支原体快速鉴定培养药敏试剂盒"",""白色念珠菌快速鉴定培养药敏试剂盒"",""定制式可摘局部义齿"",""前列腺治疗仪"",""定制式义齿"",""预冲式冲管注射器""]"
"[""一次性使用灭菌橡胶外科手套"",""CHISON"",""JH-3000系列全数字超声诊断仪"",""NB-62系列超声雾化器"",""NB-60系列卡通超声雾化器"",""全数字彩色多普勒超声诊断仪"",""KMD系列全数字彩色多普勒超声宫腔监测诊疗系统"",""SJT-Ⅰ型血糖试纸"",""远红外腰痛贴"",""康琦乳腺增生贴"",""远红外康琦风湿贴"",""陶瓷托槽"",""运动负荷心电分析系统"",""NHC型移动式C形臂高频X线机"",""NOVA系列TR60型移动式C臂高频X射线影像系统""]"
"[""微电脑治疗仪"",""XTV-ZHD54系列医用X线电视设备"",""定制式固定义齿"",""一次性使用缝合包"",""一次性使用敷料包"",""一次性使用换药包"",""HD-3000型系列医用臭氧治疗仪"",""多功能眼病治疗仪"",""RK-300系列妇科光谱治疗仪"",""HB700系列中药熏蒸机"",""GZ-630系列光子治疗仪"",""YK系列妇科臭氧治疗仪"",""KJ-3000系列脑循环功能治疗仪（商品名：脑功能（障碍）治疗仪）"",""远红外线温热治疗器"",""产后综合治疗仪""]"
"[""新生儿黄疸治疗床"",""新生儿黄疸治疗仪"",""风湿理疗贴"",""一次性使用采血针"",""场效应治疗仪"",""隔物灸"",""督灸"",""医用脱脂棉(非灭菌)"",""一次性使用医用单"",""一次性使用床罩"",""一次性使用检查垫"",""一次性医用枕套"",""一次性使用口腔器械盒"",""隔物灸"",""纤维蛋白原测定试剂（凝固法）""]"
"[""一次性使用检查手套"",""一次性使用PE手套"",""一次性使用胃镜检查包"",""一次性使用冲洗器"",""医用棉签"",""康琦助眠贴"",""宝贝退热贴"",""近视眼治疗仪"",""定制式固定修复体(固定式义齿)"",""定制式活动修复体(活动式义齿)"",""多功能治疗仪"",""一次性使用鼻氧管"",""LOGIQ"",""超声雾化器"",""银离子亲水涂层导尿管""]"
"[""NE-9100系列前列腺治疗仪"",""PK-320系列耳鼻喉综合检查台"",""活动义齿"",""铸造金属冠"",""铸造活动支架"",""口腔清洗机"",""便携式B型超声诊断仪"",""脱敏糊剂"",""肌酸激酶\u0026肌酸激酶同工酶校准品"",""肌酐校准品"",""一次性使用回缩自毁式无菌注射器"",""一次性使用环柄注射器"",""一次性使用真空采血器"",""一次性使用真空采血配套用针"",""冷敷帽""]"
"[""敦煌二七二系列脐密带"",""敦煌咳喘宁背心"",""一次性使用氧气湿化器"",""医用脱脂棉球"",""创口贴"",""创口贴"",""贴笑牌风湿跌打损伤康复贴(已注销)"",""贴笑牌风湿关节镇痛康复贴(已注销)"",""贴笑牌追风透骨消痛康复贴(已注销)"",""贴笑牌通络舒筋镇痛康复贴(已注销)"",""百草堂止痛贴(已注销)"",""C3测定试剂盒(免疫透射比浊法)"",""前白蛋白测定试剂盒(免疫透射比浊法)"",""免疫球蛋白A测定试剂盒(免疫透射比浊法)"",""载脂蛋白B测定试剂盒(免疫透射比浊法)""]"
"[""连体式牙科治疗设备"",""多参数监护仪"",""医学影像工作站"",""X射线摄影暗匣"",""医用胶带"",""注射用消毒棉棒"",""胰岛素注射用消毒棉棒"",""多功能病床"",""医用柜"",""便携式技工打磨机"",""技工用微型点焊机"",""输液贴"",""创口贴"",""高吸收创口贴"",""一次性使用灌注器""]"
"[""普通产床"",""牵引床"",""医用病床"",""一次性使用塑料套管"",""一次性使用阴道冲洗器"",""一次性使用检查手套、指套"",""一次性使用橡胶检查手套"",""总胆汁酸测定试剂盒(酶循环法)"",""肌酸激酶\u0026肌酸激酶同工酶质控物"",""总胆汁酸质控物"",""无机磷检测试剂盒(钼酸盐法)"",""乳酸脱氢酶检测试剂盒(乳酸法)"",""风湿关节炎痛贴"",""颈椎痛贴"",""增生痛贴""]"
"[""显微持针钳"",""手术剪"",""心脏手术剪"",""拆线剪"",""一次性使用鼻氧管"",""一次性使用气管切开专用罩"",""无外源冷敷降温袋"",""殿稳医疗保健袋　"",""敦煌脐密座垫"",""骨科外固定架"",""腹部手术牵开器"",""肌酸激酶同工酶测定试剂盒(选择性抑制法)"",""低密度脂蛋白胆固醇测定试剂盒(直接法)"",""关节止痛贴"",""风湿贴""]"
"[""医用固定带"",""医用X射线防护屏"",""X射线胶片贮片箱"",""立式摄片架"",""医用输液贴"",""眼用手术剪"",""SLS-2600P医用内窥镜冷光源"",""纤维鼻咽喉镜"",""视频喉镜"",""多通道热敷仪"",""一次性使用气管插管包"",""一次性使用椎体工具包"",""脑循环系统治疗仪"",""电脑低中频治疗仪"",""一次性使用加药注射器""]"
"[""一次性使用导尿管"",""电子血压计"",""鼻腔填塞钳"",""钢丝结扎钳"",""深度测量器"",""大隐静脉剥离器"",""套管束紧钳"",""直角支气管钳"",""耳用骨凿"",""鼻骨锤"",""柠檬酸盐抗原修复缓冲液(免疫组织化学法)"",""颈椎牵引固定器"",""疝气治疗带"",""一次性使用雾化面罩"",""一次性使用鼻氧管""]"
"[""一次性使用口腔护理包"",""一次性使用备皮包"",""一次性使用治疗巾"",""一次性使用医用单"",""一次性使用护理垫"",""骨质增生贴"",""活血止痛贴"",""筋骨贴"",""尿素测定试剂盒(UV-GLDH法-LST型)"",""高密度脂蛋白胆固醇检测试剂盒(直接法)"",""低密度脂蛋白胆固醇检测试剂盒(直接法)"",""定制式活动义齿"",""小切口精细剪"",""淋巴结钳"",""小切口止血钳""]"
"[""小切口止血钳"",""医用锯片"",""医用钻具"",""一次性使用止血带"",""取样鉗"",""全伸通透骨贴(已注销)"",""立式摄片架"",""腾程孕中期母血清学产前筛查分析软件"",""定制式活动义齿"",""电镀金刚石车针"",""大功率耳背式助听器"",""中功率耳内式助听器"",""定制式固定义齿"",""红外耳式体温计"",""定制式活动义齿""]"
"[""人绒毛膜促性腺激素定量检测试剂盒(化学发光法)"",""甲胎蛋白(AFP)定量测定试剂盒(化学发光免疫分析法)"",""游离前列腺特异性抗原(F-PSA)定量测定试剂盒(化学发光免疫分析法)"",""糖类抗原CA50定量测定试剂盒(化学发光免疫分析法)"",""癌胚抗原(CEA)定量测定试剂盒(化学发光免疫分析法)"",""糖类抗原CA19-9定量测定试剂盒(化学发光免疫分析法)"",""一次性使用静脉血样采集针(商品名:采血针)"",""肘关节支具"",""人流吸引管"",""碱性磷酸酶检测试剂盒(连续监测法)"",""γ-谷氨酰转移酶检测试剂盒(连续监测法)"",""医用固定带"",""热敷宝灸"",""医用微动力系统擦皮美容机"",""医用微动力系统牙种植仪""]"
"[""小切口持针钳"",""骨凿"",""牙科石膏"",""YD型氧气袋"",""防护室、防护门"",""丙氨酸氨基转移酶测定试剂盒(基于IFCC(2002)配方)"",""筋骨贴(已注销)"",""定制式活动义齿"",""医用中心吸引系统"",""口吃矫正器"",""一次性使用无菌手术巾"",""一次性使用无菌手术单"",""MENU系列耳道式助听器"",""快速多通道散射免疫浊度分析仪(商品名：天权)"",""一次性使用无菌溶药器""]"
"[""电子体温计"",""F1系列牙医师座椅"",""医用制氧机"",""毫米波治疗仪"",""冲洗吸引仪"",""CO2气腹仪"",""胆固醇测定试剂盒(胆固醇氧化酶法)"",""钙Ca(偶氮胂Ш法)试剂盒"",""指圈式施夹钳"",""一次性使用镊子"",""医用棉花球"",""医用绷带"",""鼻息肉钳"",""牙科石膏产品"",""牙科铸造蜡""]"
"[""墙式吸引器"",""精细组织剪"",""隐形眼镜护理液"",""软性亲水接触镜"",""眼科超声诊断仪"",""微波手术刀(商品名：微波自速封止血分离器)"",""微波手术仪(商品名：热凝刀)"",""骨痛康复贴(已注销)"",""晕车贴"",""医用胶带"",""汝健贴(已注销)"",""湿敷贴(已注销)"",""医用消毒棉签"",""医用棉签"",""医用胶带""]"
"[""LFSS-01系列光子治疗仪"",""一次性使用无菌注射器"",""止血愈合海绵"",""HF3500高频移动式C形臂X射线机"",""HF5000高频移动式C形臂X射线机"",""立式压力蒸汽灭菌器"",""α-L-岩藻糖苷酶测定试剂盒(MG-CNPF法-LST型)"",""甘油三酯测定试剂盒(GPO-PAP法-LST型)"",""定制式活动义齿"",""定制式固定义齿"",""血糖试纸（葡萄糖氧化酶法）"",""血糖检测用质控液"",""钻头"",""全自动电解质分析仪缓冲液(间接离子选择电极法，ISE)"",""WUC系列内镜器械超声波清洗机""]"
"[""根管锉"",""牙科用研磨材料"",""眼底镜"",""关节固定支具"",""退热贴(商品名：降温贴)"",""低频高电位治疗机"",""康复贴"",""通气鼻贴"",""穴位敷帖(已注销)"",""退热贴"",""医用消毒棉签"",""颈椎牵引器"",""医用分子筛制氧设备"",""腹腔镜手术器械"",""剔挖器""]"
"[""额带反光镜"",""显微喉剪"",""鼻穿刺针"",""显微喉针"",""显微喉钩"",""阴道夹持钳"",""脊柱固定系统威創脊椎固定系統"",""麻醉面罩“太平洋”麻醉面罩"",""苏醒球组“愷得”甦醒球組"",""耳鼻喉科用敷料(商品名:龙泰)耳鼻喉科用敷料"",""抽痰包“太平洋”抽痰包(滅菌)"",""亲水性创伤敷料(商品名:“科云”亲水性创伤覆盖材(灭菌))原文名称:"",""倍频Nd:YAG激光眼科治疗机“承賢”眼科雙倍頻鉫雅鉻雷射"",""脊柱固定系统-椎弓根螺钉"",""咬骨鉗""]"
"[""子宫刮匙"",""尿道扩张器"",""鼻骨锉"",""医用固定带"",""浮标式氧气吸入器"",""牙根尖挺"",""一次性使用冲洗器"",""单纯疱疹病毒2型IgG抗体测定试剂盒(酶联免疫法)"",""EB病毒衣壳抗原IgA(EBV"",""洁阴仪"",""颈椎治疗仪"",""医用纱布块"",""一次性使用灭菌外科手套手套"",""定制式固定义齿"",""肌酸激酶同工酶测定试剂盒(免疫抑制法)""]"
"[""定制式固定义齿"",""定制式活动义齿"",""定制式固定义齿"",""尿素测定试剂盒(谷氨酸脱氢酶法)"",""医用微动力系统手术钻"",""医用口罩(非外科用)"",""LD数码医疗影像纸介质打印系统"",""定制式固定义齿"",""定制式可摘局部义齿"",""定制式全口义齿"",""红外光热治疗仪"",""创伤止痛融瘢贴"",""钛网"",""内八角种植体台灣之星內八角植體系統"",""正畸支抗“SYNTEC”""]"
"[""病人监护仪"",""墙式氧气吸入器"",""便携式氧气吸入器"",""数字口腔观察仪"",""一次性使用医用手术衣"",""医用镊"",""一次性使用含碘棉签"",""输送器"",""拔髓(神经)针柄"",""足外展支具"",""退热贴(商品名：益贴凉)"",""医用拉钩"",""手术刀柄"",""持针钳"",""海绵钳""]"
"[""组织剪"",""无菌生物护创膜"",""干式激光成像仪"",""医用一次性防护服(商品名：杜邦TM特卫强医用一次性防护服)"",""拉合胶布(商品名：舒美邦)"",""定制式固定义齿"",""定制式可摘局部义齿"",""载脂蛋白B液体试剂盒"",""甘油三脂液体试剂盒"",""活动义齿"",""烤瓷熔附金属冠"",""复合面料氧气袋"",""医用脱脂棉"",""吉娜舒润剂"",""定制式活动义齿""]"
"[""普通医用口罩"",""定制式固定义齿"",""定制式活动义齿"",""脉动真空压力蒸汽灭菌器"",""手术垫单"",""多源治疗仪"",""定制式固定义齿"",""针灸包"",""皮肤针"",""揿针"",""针灸针"",""脂蛋白a液体试剂盒"",""医用齿科硬石膏"",""骨锤"",""无菌压舌板""]"
"[""骨凿"",""一次性使用医用无纺布(系列)制品"",""一次性使用引流容器"",""定制式固定义齿"",""定制式活动义齿"",""一次性使用导尿包"",""髋关节固定支具"",""四氢大麻酚酸检测试剂盒(胶体金法)"",""单纯疱疹病毒1型IgM抗体测定试剂盒(酶联免疫法)"",""细胞角蛋白19片段定量检测试剂盒(磁微粒化学发光法)"",""乙型肝炎病毒表面抗原检测试剂盒(化学发光法)"",""丙型肝炎病毒抗体检测试剂盒(胶体金法)"",""前列腺酸性磷酸酶(PAP)定量测定试剂盒(化学发光免疫分析法)"",""牙科X射线机"",""一次性使用医疗卫生用品""]"
"[""医学影像存贮及传输系统"",""医用中心供氧系统"",""微创通道管手术系统"",""颈椎牵引器"",""纤维蛋白原（FIB）测定试剂盒（凝固法）"",""临床生化质控血清"",""纤维蛋白原（FIB）测定试剂盒（凝固法）"",""总胆红素液体试剂盒"",""总胆汁酸液体试剂盒"",""总蛋白液体试剂盒"",""总胆固醇液体试剂盒"",""肌酸激酶液体试剂盒"",""高密度脂蛋白胆固醇液体试剂盒"",""钙液体试剂盒"",""C3血细胞分析仪用质控品""]"
"[""C3血细胞分析仪用质控品"",""痛可贴(已注销)"",""冷敷贴"",""医用弓丝成型仪"",""电动病床"",""骨矿密度测量体模系统"",""高频妇科治疗机"",""高频肛肠治疗机"",""总蛋白测定试剂盒(Doumas法-LST型)"",""水凝胶桉树精油贴"",""颈前路固定系统(商品名：史令飞)“聯合”史令飛頸前路骨板系統"",""葡萄球菌鉴定试剂盒(比色法)"",""补体3(C3)、补体4(C4)免疫透射比浊法测定试剂盒"",""尿微量白蛋白(Microalbumininurine.MAU)免疫透射比浊法测定试剂盒"",""乳酸脱氢酶(LDH)测定试剂盒(乳酸法)""]"
"[""γ-谷氨酰基转移酶(γ-GT)测定试剂盒(速率法)"",""总蛋白(TP)测定试剂盒(双缩脲法)"",""葡萄糖(GLU)测定试剂盒(己糖激酶法)"",""前白蛋白(PA)测定试剂盒(免疫透射比浊法)"",""总胆红素(TBIL)测定试剂盒(氧化法)"",""天门冬氨酸氨基转移酶(AST)测定试剂盒(酶学速率法)"",""凝血酶时间（TT）测定试剂盒（凝固法）"",""医用脱脂棉纱布"",""医用脱脂棉纱布块"",""医用脱脂棉"",""SZS型闪烁增视仪"",""定制式活动义齿"",""尿酸测定试剂盒(尿酸酶法)"",""5’-核苷酸酶测定试剂盒(连续监测法)"",""胱抑素C测定试剂盒(免疫比浊法)""]"
"[""β2-微球蛋白测定试剂盒(免疫比浊法)"",""尿微量白蛋白测定试剂盒(免疫比浊法)"",""高敏C-反应蛋白测定试剂盒(免疫比浊法)"",""医用脱脂棉"",""医用棉签"",""医用棉卷"",""定制式固定义齿"",""定制式活动义齿"",""殑菌杀菌型医用超声耦合剂"",""医用纱布块"",""医用灌肠器"",""弱视眼罩"",""同视机"",""血细胞分析仪应用试剂"",""血细胞分析仪应用试剂""]"
"[""“联膝”手术器械包"",""上肢矫形器"",""下肢可调式矫形器"",""尿有形成份分析仪应用试剂"",""诊查床"",""一次性使用手术帽"",""一次性使用手术衣"",""一次性使用手术单"",""一次性使用手术口罩"",""卡式半自动注射笔"",""大肠埃希菌和肺炎克雷伯菌药敏试剂盒（微量肉汤稀释法）"",""α-L-岩藻糖苷酶检测试剂盒（速率法）"",""β2-微球蛋白检测试剂盒（乳胶增强免疫比浊法）"",""定制式活动义齿"",""经皮气管扩张器""]"
"[""YZ25系列双目间接检眼镜"",""HL710型表皮式红外体温计"",""一次性使用穿刺导入器"",""尿酸检测试剂盒(尿酸酶法)"",""脱落细胞样本保存液"",""抗原修复液(pH6.0)"",""抗原修复液(pH9.0)"",""红细胞稀释液"",""运送培养管"",""碱性蛋白胨水管"",""巴比妥钠缓冲液"",""海藻酸钙医用敷料"",""医用棉卷"",""定制式活动义齿"",""医用棉卷""]"
"[""穴位理疗贴（商品名：怡心贴）"",""TTC沙氏平板培养基"",""麦康凯琼脂平板培养基"",""哥伦比亚血琼脂平板培养基"",""磁疗·雪莲贴贴舒(已注销)"",""磁疗·雪莲贴而舒(已注销)"",""铸造金属冠"",""铸造活动支架"",""一次性使用手术衣"",""一次性使用帽子"",""一次性使用垫单"",""医用脱脂棉纱布"",""眼部保健理疗仪"",""定制式固定义齿"",""定制式活动义齿""]"
"[""医用脱脂棉"",""医用脱脂棉纱布"",""医用脱脂棉纱布块"",""普通医用口罩"",""一次性医疗卫生用品"",""一次性医用敷料包"",""定制式固定义齿"",""定制式活动义齿"",""ZL70系列光学阴道显微镜"",""取石网篮"",""一次性使用细胞刷"",""医用诊断旋转阳极X射线管组件"",""晕车醒脑贴(已注销)"",""护理床"",""腰椎举升康复器""]"
"[""风湿骨痛静电理疗贴(已注销)"",""癌痛静电理疗贴(已注销)"",""乳康静电理疗贴(已注销)"",""妇康静电理疗贴(已注销)"",""医用橡皮膏"",""血细胞分析仪应用试剂"",""医用输液贴"",""BM系列生物显微镜"",""心内吸引管"",""腔静脉钳"",""心耳钳"",""凹凸齿止血夹"",""显微剥离器"",""肠道病毒71型IgM抗体检测试剂盒(胶体金法)"",""人狂犬病毒抗体(IgG)检测试剂盒(胶体金法)""]"
"[""幽门螺旋杆菌抗体检测试剂盒(胶体金法)"",""烤瓷熔附金属冠"",""铸造金属冠"",""活动义齿"",""一次性使用无菌产包"",""一次性使用无菌手术包"",""手术电极(商品名：电刀笔)"",""免疫球蛋白G定量测定试剂盒(免疫透射比浊法)"",""C4测定试剂盒(免疫透射比浊法)"",""一次性使用医用臭氧导气头"",""场效应治疗仪"",""敦煌272脐密仪"",""敦煌骨通摩磁仪"",""冲击波软组织损伤理疗仪"",""一次性脐带剪夹器(特殊脐带夹)""]"
"[""经皮椎体成形系统"",""弓形虫抗体金标检测卡"",""沙眼衣原体金标检测试剂盒"",""结核抗体金标检测卡"",""定制式固定义齿"",""医用胶带"",""创口贴"",""SDZ系列电子针疗仪"",""DR200M型高频数字医用诊断X射线机"",""水凝胶柠檬精油贴"",""水凝胶丁香精油贴"",""水凝胶杜松精油贴(商品名：伤痛快贴)"",""纱布绷带"",""医用棉签"",""灭菌创可贴""]"
"[""输液固定贴"",""一次性医用灭菌棉签"",""一次性使用高频电刀笔"",""一次性使用双极电凝镊"",""退热快贴"",""水凝胶迷迭香精油贴"",""充气应急夹板"",""TJ－R系列医用橡皮膏"",""医用输液贴"",""医用胶带"",""一次性医用棉签"",""酒精棉球"",""一次性使用护创贴"",""淀粉酶测定试剂盒(速率法/E-pNP-G7底物)"",""葡萄糖测定试剂盒(葡萄糖氧化酶法)""]"
